Software: ,GCTS CATS Advanced (WIN-CATS-ADV) [G2],Version: ,3.04,,,,,
Project: ,BMD-MORSHED,,,,,,,
Sample: ,DIC_TRIAL_S3_071626,,,,,,,
Test: ,Dynamic Modulus,,,,,,,
Specimen: ,S33BP_50,,,,,,,
Number: ,001,,,,,,,
Description: ,_,,,,,,,
Container ID: ,_,,,,,,,
Tested By: ,_MORSHED,,,,,,,
Average Diameter: ,150,(mm),,,,,,
Average Height (H): ,62.335,(mm),,,,,,
Axial Gauge Length (GL): ,101.6,(mm),,,,,,
Temperature: ,-10,(deg C),,,,,,
Confining Pressure: ,0,(kPa),,,,,,
AC Binder: ,Other,,,,,,,
,A: ,0,,,,,,
,VTS: ,0,,,,,,
,|Gb*|: ,0,(MPa),,,,,
,Phase Angle: ,0,(deg),,,,,
Starting Date: , 7/20/26,,,,,,,
Starting Time: ,10:06:49,,,,,,,
Pump: ,High Pressure,,,,,,,
Test Results: ,Stopped by User,,,,,,,
,Type: ,Universal,,,,,,
,,Duration: ,22.3,(sec),,,,
,,,,Max,Min,Range,Initial,End
10.073,7.315,8.347,902,452.06,,,,
10.098,7.313,8.369,902,452.689,,,,
10.123,7.251,8.389,894,452.415,,,,
10.148,7.241,8.411,893,451.569,,,,
10.173,7.183,8.431,886,453.483,,,,
10.198,7.156,8.452,883,453.666,,,,
10.223,7.131,8.473,880,454.382,,,,
10.248,7.11,8.494,877,454.613,,,,
10.273,7.058,8.514,871,456.163,,,,
10.298,7.038,8.536,868,454.628,,,,
10.323,6.981,8.555,861,456.019,,,,
10.348,6.989,8.579,862,457.438,,,,
10.373,6.904,8.597,852,455.095,,,,
10.398,6.906,8.619,852,457.767,,,,
10.423,6.855,8.639,846,458.58,,,,
10.448,6.841,8.661,844,460.416,,,,
10.473,6.777,8.68,836,458.43,,,,
10.498,6.774,8.703,836,460.602,,,,
10.523,6.723,8.722,829,458.939,,,,
10.548,6.704,8.745,827,461.771,,,,
10.573,6.647,8.764,820,462.435,,,,
10.598,6.634,8.786,818,460.777,,,,
10.623,6.586,8.805,812,463.08,,,,
10.648,6.584,8.828,812,465.031,,,,
10.673,6.512,8.847,803,462.298,,,,
10.698,6.516,8.87,804,462.558,,,,
10.723,6.45,8.889,796,464.639,,,,
10.748,6.452,8.911,796,465.678,,,,
10.773,6.384,8.931,787,465.669,,,,
10.798,6.373,8.953,786,467.715,,,,
10.823,6.311,8.972,778,466.052,,,,
10.848,6.321,8.995,780,467.54,,,,
10.873,6.247,9.014,771,466.095,,,,
10.898,6.244,9.036,770,465.444,,,,
10.923,6.187,9.056,763,466.777,,,,
10.948,6.173,9.078,761,468.005,,,,
10.973,6.11,9.097,754,466.682,,,,
10.998,6.096,9.12,752,469.639,,,,
11.023,6.057,9.139,747,466.87,,,,
11.048,6.038,9.162,745,469.317,,,,
11.073,5.974,9.18,737,468.351,,,,
11.098,5.965,9.203,736,469.908,,,,
11.123,5.903,9.223,728,470.758,,,,
11.148,5.887,9.245,726,468.36,,,,
11.173,5.835,9.264,720,468.936,,,,
11.198,5.803,9.286,716,470.209,,,,
11.223,5.758,9.306,710,469.957,,,,
11.248,5.733,9.328,707,471.431,,,,
11.273,5.691,9.348,702,469.867,,,,
11.298,5.675,9.37,700,470.546,,,,
11.323,5.613,9.389,692,468.423,,,,
11.348,5.6,9.412,691,470.841,,,,
11.373,5.553,9.431,685,469.906,,,,
11.398,5.529,9.453,682,470.375,,,,
11.423,5.482,9.472,676,469.766,,,,
11.448,5.487,9.495,677,470.277,,,,
11.473,5.419,9.514,668,469.952,,,,
11.498,5.415,9.536,668,470.548,,,,
11.523,5.376,9.556,663,467.255,,,,
11.548,5.348,9.578,660,468.123,,,,
11.573,5.314,9.598,655,469.258,,,,
11.598,5.288,9.619,652,468.865,,,,
11.623,5.242,9.639,647,467.705,,,,
11.648,5.23,9.662,645,468.48,,,,
11.673,5.174,9.681,638,467.056,,,,
11.698,5.162,9.704,637,467.933,,,,
11.723,5.112,9.722,631,464.813,,,,
11.748,5.108,9.745,630,466.206,,,,
11.773,5.049,9.764,623,466.882,,,,
11.798,5.044,9.787,622,465.749,,,,
11.823,4.987,9.805,615,463.226,,,,
11.848,5.003,9.829,617,463.661,,,,
11.873,4.931,9.847,608,462.633,,,,
11.898,4.928,9.87,608,462.938,,,,
11.923,4.879,9.889,602,459.181,,,,
11.948,4.87,9.912,601,462.259,,,,
